DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Summary Level,State,State FIPS,Insured Males 18-25,Noninsured Males 18-25,Females 18-25 with Insurance,Females 18-25 without insurance
948 - SIGNS & SYMPTOMS W/O MCC,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,12,"21,457.08","7,212.08","3,601.41",40,HI,15,"52,312","7,891","53,557","5,430"
948 - SIGNS & SYMPTOMS W/O MCC,130025,MADISON MEMORIAL HOSPITAL,450 EAST MAIN STREET,REXBURG,ID,83440,ID - Idaho Falls,21,"6,736.09","4,081.00","3,116.80",40,ID,16,"57,401","19,836","58,865","16,575"
948 - SIGNS & SYMPTOMS W/O MCC,140291,ADVOCATE GOOD SHEPHERD HOSPITAL,450 WEST HIGHWAY 22,BARRINGTON,IL,60010,IL - Elgin,25,"13,949.00","3,933.72","3,259.64",40,IL,17,"482,287","134,031","515,428","93,635"
948 - SIGNS & SYMPTOMS W/O MCC,150173,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,5165 MCCARTY LN,LAFAYETTE,IN,47905,IN - Lafayette,35,"20,029.71","4,601.14","2,451.00",40,IN,18,"255,338","74,975","266,344","58,550"
948 - SIGNS & SYMPTOMS W/O MCC,160153,MERCY MEDICAL CENTER-SIOUX CITY,801 5TH ST BOX #316B,SIOUX CITY,IA,51101,IA - Sioux City,21,"18,698.90","3,800.80","2,752.71",40,IA,19,"138,433","22,195","136,977","16,890"
948 - SIGNS & SYMPTOMS W/O MCC,170192,GALICHIA HEART HOSPITAL LLC,2610 N WOODLAWN,WICHITA,KS,67220,KS - Wichita,12,"7,441.91","3,247.66","2,533.91",40,KS,20,"118,714","29,476","117,297","24,395"
948 - SIGNS & SYMPTOMS W/O MCC,180149,WESTLAKE REGIONAL HOSPITAL,"901 WESTLAKE DRIVE, PO BOX 1269",COLUMBIA,KY,42728,KY - Louisville,11,"7,933.27","4,576.09","3,961.54",40,KY,21,"160,136","47,577","167,401","38,585"
948 - SIGNS & SYMPTOMS W/O MCC,190236,WILLIS KNIGHTON BOSSIER HEALTH CENTER,2400 HOSPITAL DR,BOSSIER CITY,LA,71111,LA - Shreveport,17,"14,759.17","4,013.11","2,843.64",40,LA,22,"157,150","66,874","178,096","53,227"
948 - SIGNS & SYMPTOMS W/O MCC,200063,PENOBSCOT BAY MEDICAL CENTER,6 GLEN COVE DRIVE,ROCKPORT,ME,4856,ME - Portland,19,"10,772.52","4,727.31","3,959.52",40,ME,23,"46,375","10,982","48,145","7,532"
312 - SYNCOPE & COLLAPSE,210061,ATLANTIC GENERAL HOSPITAL,9733 HEALTHWAY DRIVE,BERLIN,MD,21811,MD - Salisbury,34,"4,209.64","3,956.94","3,137.76",40,MD,24,"229,283","43,452","240,337","33,030"
312 - SYNCOPE & COLLAPSE,220176,ST VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,1608,MA - Worcester,82,"7,213.09","5,552.09","4,756.17",40,MA,25,"318,098","24,420","332,676","16,072"
312 - SYNCOPE & COLLAPSE,230302,HENRY FORD WEST BLOOMFIELD HOSPITAL,6777 WEST MAPLE ROAD,W BLOOMFIELD,MI,48322,MI - Royal Oak,70,"13,106.98","4,015.18","2,921.44",40,MI,26,"403,180","94,184","419,547","69,359"
312 - SYNCOPE & COLLAPSE,240213,HEALTHEAST WOODWINDS HOSPITAL,1925 WOODWINDS DRIVE,WOODBURY,MN,55125,MN - St. Paul,30,"13,566.20","4,349.33","3,408.13",40,MN,27,"217,254","36,302","222,793","25,112"
312 - SYNCOPE & COLLAPSE,250162,HANCOCK MEDICAL CENTER,149 DRINKWATER BLVD,BAY SAINT LOUIS,MS,39521,LA - Slidell,20,"17,505.05","4,686.00","3,791.60",40,MS,28,"100,122","48,272","112,631","39,120"
312 - SYNCOPE & COLLAPSE,260216,SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL,100 N E SAINT LUKE'S BOULEVARD,LEES SUMMIT,MO,64086,MO - Kansas City,60,"22,801.21","4,441.28","3,015.13",40,MO,29,"218,737","67,102","234,572","54,658"
312 - SYNCOPE & COLLAPSE,270057,BOZEMAN DEACONESS HOSPITAL,915 HIGHLAND BLVD,BOZEMAN,MT,59715,MT - Billings,13,"8,616.07","4,073.53","2,977.61",40,MT,30,"36,441","13,874","36,595","10,462"
312 - SYNCOPE & COLLAPSE,280132,BELLEVUE MEDICAL CENTER,2500 BELLEVUE MEDICAL CENTER DR,BELLEVUE,NE,68123,NE - Omaha,11,"13,152.09","3,636.81","2,778.36",40,NE,31,"76,596","17,300","77,384","14,400"
312 - SYNCOPE & COLLAPSE,290054,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,6900 N DURANGO DR,LAS VEGAS,NV,89149,NV - Las Vegas,56,"32,536.58","4,390.80","3,210.51",40,NV,32,"85,375","38,905","90,251","32,242"
312 - SYNCOPE & COLLAPSE,300034,CATHOLIC MEDICAL CENTER,100 MCGREGOR STREET,MANCHESTER,NH,3102,NH - Manchester,60,"16,068.75","4,319.01","3,360.46",40,NH,33,"53,219","10,318","54,275","8,319"
312 - SYNCOPE & COLLAPSE,310120,SAINT CLARE'S HOSPITAL/SUSSEX,20 WALNUT ST,SUSSEX,NJ,7461,NJ - Morristown,17,"25,998.58","4,745.05","3,949.76",40,NJ,34,"314,748","82,206","319,177","61,452"
312 - SYNCOPE & COLLAPSE,320085,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,4311 EAST LOHMAN AVENUE,LAS CRUCES,NM,88011,TX - El Paso,34,"12,939.97","4,246.50","3,460.05",40,NM,35,"69,903","33,233","73,194","26,623"
948 - SIGNS & SYMPTOMS W/O MCC,330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,NY - East Long Island,60,"27,885.55","4,433.73","3,870.50",40,NY,36,"816,499","159,157","863,164","115,886"
948 - SIGNS & SYMPTOMS W/O MCC,340184,MEDWEST HAYWOOD,262 LEROY GEORGE DRIVE,CLYDE,NC,28721,NC - Asheville,24,"9,571.50","3,895.29","3,001.79",40,NC,37,"343,969","122,072","370,747","97,720"
948 - SIGNS & SYMPTOMS W/O MCC,350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,13,"9,181.76","4,019.30","3,419.61",40,ND,38,"39,054","6,446","36,083","5,303"
948 - SIGNS & SYMPTOMS W/O MCC,360354,WEST CHESTER MEDICAL CENTER,7700 UNIVERSITY DRIVE,WEST CHESTER,OH,45069,OH - Cincinnati,14,"15,546.57","3,347.14","2,704.85",40,OH,39,"443,929","100,999","470,101","71,334"
948 - SIGNS & SYMPTOMS W/O MCC,370211,INTEGRIS CANADIAN VALLEY  HOSPITAL,1201 HEALTH CENTER PARKWAY,YUKON,OK,73099,OK - Oklahoma City,11,"17,183.45","3,854.36","3,342.72",40,OK,40,"130,796","58,477","138,372","48,006"
948 - SIGNS & SYMPTOMS W/O MCC,380102,SACRED HEART MEDICAL CENTER - RIVERBEND,3333 RIVERBEND DRIVE,SPRINGFIELD,OR,97477,OR - Eugene,13,"12,769.23","5,004.07","4,307.46",40,OR,41,"140,917","40,669","144,999","33,178"
948 - SIGNS & SYMPTOMS W/O MCC,390312,CANCER TREATMENT CENTERS OF AMERICA,1331 EAST WYOMING AVENUE,PHILADELPHIA,PA,19124,PA - Philadelphia,24,"83,945.95","28,968.20","8,894.20",40,PA,42,"515,159","97,160","538,569","72,737"
948 - SIGNS & SYMPTOMS W/O MCC,410013,WESTERLY HOSPITAL,25 WELLS STREET,WESTERLY,RI,2891,RI - Providence,11,"9,053.09","4,091.27","3,479.63",40,RI,44,"47,961","9,536","51,249","7,877"
948 - SIGNS & SYMPTOMS W/O MCC,420101,COASTAL CAROLINA HOSPITAL,1000 MEDICAL CENTER DRIVE,HARDEEVILLE,SC,29927,GA - Savannah,11,"16,597.09","4,207.09","3,392.54",40,SC,45,"169,817","59,090","182,617","48,861"
948 - SIGNS & SYMPTOMS W/O MCC,430077,RAPID CITY REGIONAL HOSPITAL,353 FAIRMONT BLVD  PO BOX 6000,RAPID CITY,SD,57701,SD - Rapid City,30,"23,828.43","6,373.06","4,941.80",40,SD,46,"32,991","9,001","32,975","7,176"
948 - SIGNS & SYMPTOMS W/O MCC,440194,HENDERSONVILLE MEDICAL CENTER,355 NEW SHACKLE ISLAND RD,HENDERSONVILLE,TN,37075,TN - Nashville,12,"31,769.08","6,633.41","3,078.16",40,TN,47,"232,905","72,655","254,420","54,176"
948 - SIGNS & SYMPTOMS W/O MCC,670068,TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,4400 LONG PRAIRIE ROAD,FLOWER MOUND,TX,75028,TX - Dallas,12,"15,042.00","3,539.75","2,887.41",40,TX,48,"848,005","481,716","883,646","418,602"
948 - SIGNS & SYMPTOMS W/O MCC,460051,JORDAN VALLEY MEDICAL CENTER,3580 WEST 9000 SOUTH,WEST JORDAN,UT,84088,UT - Salt Lake City,11,"18,685.54","4,059.27","3,136.00",40,UT,49,"130,500","33,241","135,511","28,261"
948 - SIGNS & SYMPTOMS W/O MCC,470024,NORTHWESTERN MEDICAL CENTER INC,133 FAIRFIELD STREET,SAINT ALBANS,VT,5478,VT - Burlington,11,"8,294.54","6,097.54","5,380.09",40,VT,50,"30,716","3,406","29,822","2,458"
948 - SIGNS & SYMPTOMS W/O MCC,490130,RIVERSIDE WALTER REED HOSPITAL,7519 HOSPITAL ROAD,GLOUCESTER,VA,23061,VA - Newport News,18,"10,355.22","3,473.61","2,848.27",40,VA,51,"301,299","80,062","326,920","65,758"
948 - SIGNS & SYMPTOMS W/O MCC,500151,ST ANTHONY HOSPITAL,11567 CANTERWOOD BOULEVARD NW,GIG HARBOR,WA,98332,WA - Tacoma,23,"25,975.60","5,645.56","4,464.69",40,WA,53,"251,603","76,275","257,711","59,789"
948 - SIGNS & SYMPTOMS W/O MCC,510085,CAMC TEAYS VALLEY HOSPITAL,1400 HOSPITAL DRIVE,HURRICANE,WV,25526,WV - Charleston,17,"9,696.52","3,629.11","2,902.29",40,WV,54,"66,367","19,536","66,645","16,120"
948 - SIGNS & SYMPTOMS W/O MCC,520189,AURORA MED CTR KENOSHA,10400 75TH ST,KENOSHA,WI,53142,WI - Milwaukee,28,"18,099.85","4,905.17","3,403.85",40,WI,55,"230,742","47,132","239,958","34,092"
948 - SIGNS & SYMPTOMS W/O MCC,530014,CHEYENNE REGIONAL MEDICAL CENTER,214 EAST 23RD STREET,CHEYENNE,WY,82001,CO - Fort Collins,15,"13,112.86","5,975.26","5,055.06",40,WY,56,"22,681","6,610","21,497","5,044"
